"Horizon","Target","Min","Q1","Median","Mean","Q3","Max"
30,"Survival Probability",-0.120260068156721,-0.0620326710383138,-0.0469567875193072,-0.0468872765118735,-0.0313715999869322,0.029078988459537
60,"Survival Probability",-0.149971388104495,-0.0684666313469032,-0.0518486141509082,-0.0525212080704999,-0.0356376946950864,0.0228859355328121
90,"Survival Probability",-0.134997628243381,-0.065125622115569,-0.048566947264514,-0.0489532908360255,-0.0327847652493962,0.0396408664955643
120,"Survival Probability",-0.13546896924908,-0.0643522718520155,-0.0494898033440828,-0.0498493490758836,-0.0348894972361825,0.0199189321984529
150,"Survival Probability",-0.126744313040001,-0.0667925277183101,-0.050578918046339,-0.0509673643422179,-0.0350960874849343,0.0230346654360069
180,"Survival Probability",-0.240561958370935,-0.0459273047976042,-0.0149432644152273,-0.0141490020768573,0.0154057069896783,0.205972085408757
