"Horizon","Target","Min","Q1","Median","Mean","Q3","Max"
30,"RMST",-2.8862143124643,-1.32388700500854,-1.00621326125431,-1.00828081115895,-0.68533913489617,0.821721507562879
60,"RMST",-6.03917164236844,-3.18808622689218,-2.44932447076803,-2.44799878855831,-1.69550002678743,1.59530797069311
90,"RMST",-10.6888287438402,-5.05815240342402,-3.93147770585321,-3.94676664735847,-2.79867358842985,1.74050150258666
120,"RMST",-14.0019420105799,-7.1080234891326,-5.49112009278459,-5.5090991069187,-3.86963624570404,2.10431742197038
150,"RMST",-16.4295219252854,-8.95623983812645,-6.96754799550915,-6.94540223286123,-4.96809922088285,2.7362372540091
180,"RMST",-21.0859537458133,-10.7363291092497,-8.27630676042618,-8.32157234380621,-5.90912638362402,3.80115056539452
